date,expiry,T,bates_v0,bates_kappa,bates_theta,bates_sigma_v,bates_rho,bates_lam,bates_muJ,bates_delta,bates_rmse,sabr_rmse,js_rmse
2024-01-05,2024-01-12,0.0192,0.6479,7.9421,0.0001,5.0,0.4765,0.7204,-0.7485,0.3392,0.012933,0.00917,0.020779
2024-01-05,2024-01-19,0.0383,0.6618,7.9768,0.0153,5.0,0.0261,0.4999,-0.0002,0.0994,0.007534,0.00524,0.004021
2024-01-05,2024-01-26,0.0575,0.4341,7.9986,0.4941,1.0991,0.6668,0.4977,0.034,0.0555,0.022438,0.022274,0.01813
2024-01-05,2024-02-23,0.1342,0.4051,0.9999,0.1004,1.0,0.3001,0.4999,-0.0001,0.0995,0.002719,0.002666,0.002619
2024-01-05,2024-03-29,0.23,0.2905,1.0065,0.0956,0.1028,0.1115,0.4545,-0.2087,0.6345,0.00331,0.003469,0.003469
2024-01-05,2024-06-28,0.4791,0.1022,7.9968,0.4834,1.039,0.3994,0.4999,-0.0001,0.0993,0.004421,0.002923,0.003956
2024-01-12,2024-06-28,0.46,0.3781,0.9997,0.0926,0.3429,0.1684,0.4999,-0.0001,0.0993,0.001994,0.001979,0.001972
2024-01-12,2024-02-23,0.115,0.4338,7.9764,0.0001,1.8006,-0.1843,0.5008,-0.0331,0.2847,0.00621,0.006228,0.006184
2024-01-12,2024-03-29,0.2108,0.0674,7.9925,0.3897,0.6218,-0.6018,0.5028,-0.1125,0.464,0.004878,0.004702,0.004673
2024-01-12,2024-01-26,0.0383,0.0001,8.0884,2.3802,3.0439,-0.3668,0.0041,1.4419,0.0214,0.023218,0.029692,0.0141
2024-01-12,2024-01-19,0.0192,0.3446,0.1531,0.0293,4.3802,-0.5033,0.7062,-0.2076,0.262,0.009421,0.016769,0.009337
2024-01-12,2024-02-02,0.0575,0.1689,8.0107,0.9663,5.0,-0.2827,0.4899,-0.1604,0.003,0.011086,0.008556,0.008556
2024-01-19,2024-01-26,0.0192,0.1584,8.0142,0.7476,4.7636,-0.223,1.075,-0.0844,0.2149,0.007686,0.014263,0.008417
2024-01-19,2024-02-02,0.0383,0.2287,7.9501,0.2714,4.9996,-0.1126,0.4999,-0.0011,0.0985,0.007132,0.009464,0.006976
2024-01-19,2024-02-09,0.0575,0.143,7.7851,0.5424,4.0895,-0.2115,0.4999,-0.0017,0.0983,0.003925,0.005035,0.004509
2024-01-19,2024-02-23,0.0958,0.0192,7.8506,0.7944,4.635,-0.1948,0.4926,-0.1232,0.0001,0.00648,0.005907,0.005426
2024-01-19,2024-03-29,0.1916,0.2591,7.5784,0.0446,0.0561,-0.0693,0.475,-0.2282,0.5251,0.003489,0.003487,0.003502
2024-01-19,2024-04-26,0.2683,0.0881,3.0194,0.579,0.8514,0.0307,0.4999,-0.0002,0.0991,0.00489,0.005185,0.004837
2024-01-19,2024-06-28,0.4408,0.3966,3.0002,0.0973,0.2999,0.2999,0.4999,-0.0001,0.0991,0.00233,0.002299,0.001873
2024-01-26,2024-04-26,0.2491,0.3991,7.999,0.0885,1.0148,0.0691,0.4999,-0.0002,0.0991,0.003851,0.003805,0.003834
2024-01-26,2024-06-28,0.4216,0.0953,2.9962,0.4828,1.0216,0.1279,0.4999,-0.0001,0.099,0.00265,0.00273,0.002782
2024-01-26,2024-03-29,0.1725,0.227,2.9959,0.2245,1.9848,-0.0421,0.4999,-0.0001,0.0992,0.002853,0.013766,0.002883
2024-01-26,2024-02-02,0.0192,0.0787,8.2252,1.3002,4.8355,-0.2564,0.4974,0.0845,0.1135,0.016286,0.019385,0.017434
2024-01-26,2024-02-16,0.0575,0.0441,7.9712,0.6158,1.3961,0.006,0.0941,-0.875,0.9717,0.002296,0.005691,0.0056
2024-01-26,2024-02-09,0.0383,0.056,7.9158,1.0257,5.0,-0.1868,0.4891,-0.1154,0.0001,0.014599,0.009852,0.009758
2024-01-26,2024-02-23,0.0767,0.0051,7.9049,0.7156,3.2637,0.0224,0.4876,-0.1191,0.0001,0.010832,0.009851,0.005208
2024-02-02,2024-02-09,0.0192,0.0234,8.0958,1.6787,4.251,-0.0678,0.1084,0.2565,0.0081,0.003985,0.007218,0.003873
2024-02-02,2024-02-16,0.0383,0.0535,7.9262,0.9165,5.0,0.0846,0.4782,-0.0811,0.0001,0.008893,0.006726,0.006585
2024-02-02,2024-02-23,0.0575,0.096,7.9332,0.5687,5.0,-0.0168,0.4922,-0.1126,0.0001,0.010966,0.007292,0.007347
