instrument,currency,expiry,strike,option_type,T,underlying_price,mark_iv,bid_iv,ask_iv,mark_price,open_interest,volume,moneyness
BTC-27MAR26-52000-C,BTC,2026-03-27,52000.0,C,0.028530196089499835,74009.87,0.9079999999999999,0.0,1.1215000000000002,0.2979,6.5,0.0,0.7026089898550019
BTC-27MAR26-53000-C,BTC,2026-03-27,53000.0,C,0.028530185041162826,74009.87,0.8803,0.0,1.0707,0.2845,0.0,0.0,0.7161207011983672
BTC-27MAR26-54000-C,BTC,2026-03-27,54000.0,C,0.028530173313559965,74009.87,0.8606,0.0,1.0612000000000001,0.2711,0.4,0.0,0.7296324125417326
BTC-27MAR26-55000-C,BTC,2026-03-27,55000.0,C,0.028530160922408548,74009.83,0.8356999999999999,0.0,1.01,0.2577,304.0,0.0,0.7431445255312706
BTC-27MAR26-56000-C,BTC,2026-03-27,56000.0,C,0.028530147950667984,74009.85,0.8206,0.0,0.9594,0.2444,11.2,0.0,0.7566560397028232
BTC-27MAR26-57000-C,BTC,2026-03-27,57000.0,C,0.028530134847516923,74004.93,0.8019,0.0,0.9445,0.2312,5.4,0.0,0.770218957034349
BTC-27MAR26-58000-C,BTC,2026-03-27,58000.0,C,0.02853012301135067,74004.93,0.7844,0.0,0.9216,0.218,22.7,0.0,0.7837315703156533
BTC-27MAR26-59000-C,BTC,2026-03-27,59000.0,C,0.028530110052538853,74004.93,0.7615000000000001,0.5543,0.8698,0.2048,20.3,0.0,0.7972441835969577
BTC-27MAR26-60000-C,BTC,2026-03-27,60000.0,C,0.02853009498618399,73995.44,0.7415,0.6178,0.8468000000000001,0.1917,273.1,0.1,0.8108607773668215
BTC-27MAR26-62000-C,BTC,2026-03-27,62000.0,C,0.028530081381695695,73995.44,0.6978,0.616,0.7824,0.1656,67.0,0.0,0.8378894699457156
BTC-27MAR26-64000-C,BTC,2026-03-27,64000.0,C,0.028530069038266534,73992.39,0.6640999999999999,0.6004999999999999,0.725,0.1403,359.5,4.3,0.8649538148450131
BTC-27MAR26-65000-C,BTC,2026-03-27,65000.0,C,0.028530056437720233,73992.39,0.6408,0.5885,0.6976,0.1277,1311.5,0.0,0.8784687182019665
BTC-27MAR26-66000-C,BTC,2026-03-27,66000.0,C,0.028530043234498186,73992.39,0.6255,0.5838,0.6785,0.1156,1136.3,0.4,0.8919836215589197
BTC-27MAR26-67000-C,BTC,2026-03-27,67000.0,C,0.028530031241159024,73986.32,0.6074,0.5706,0.6431999999999999,0.1036,675.6,9.0,0.905572814001291
BTC-27MAR26-68000-C,BTC,2026-03-27,68000.0,C,0.02853001785465308,73986.32,0.5921,0.5702,0.6133,0.0921,2051.6,0.8,0.919088826150564
BTC-27MAR26-69000-C,BTC,2026-03-27,69000.0,C,0.02853000582274951,73986.16,0.5787,0.5585,0.6068,0.0811,291.3,1.0,0.9326068551199305
BTC-27MAR26-70000-C,BTC,2026-03-27,70000.0,C,0.02852999433287069,73986.16,0.5668,0.5554,0.5819,0.0707,2492.5,325.0,0.9461228964984802
BTC-27MAR26-71000-C,BTC,2026-03-27,71000.0,C,0.028529980226316323,73986.16,0.5565,0.5414,0.5740999999999999,0.061,974.0,16.6,0.9596389378770299
BTC-27MAR26-72000-C,BTC,2026-03-27,72000.0,C,0.028529967184006386,73986.01,0.5461,0.5329999999999999,0.5562,0.0518,2474.9,361.5,0.9731569522400249
BTC-27MAR26-73000-C,BTC,2026-03-27,73000.0,C,0.02852995415205846,73986.12,0.5364,0.5286,0.5435,0.0435,1146.2,589.5,0.9866715540698715
BTC-27MAR26-74000-C,BTC,2026-03-27,74000.0,C,0.02852994130333105,73985.46,0.5268,0.52,0.5346,0.036,2221.2,148.7,1.000196525101013
BTC-27MAR26-75000-C,BTC,2026-03-27,75000.0,C,0.028529928852732783,73985.46,0.5212,0.5141,0.5288,0.0295,9796.1,473.6,1.0137126943591348
BTC-27MAR26-76000-C,BTC,2026-03-27,76000.0,C,0.02852991505269729,73985.46,0.5123,0.5036,0.5186999999999999,0.0236,1672.7,39.9,1.0272288636172566
BTC-27MAR26-77000-C,BTC,2026-03-27,77000.0,C,0.028529901881290086,73988.29,0.5121,0.5036,0.5115,0.019,354.1,105.3,1.0407052251106224
BTC-27MAR26-78000-C,BTC,2026-03-27,78000.0,C,0.028529889485829088,73988.29,0.5095000000000001,0.5001,0.5086999999999999,0.015,2849.4,161.7,1.0542208773847863
BTC-27MAR26-80000-C,BTC,2026-03-27,80000.0,C,0.02852987643410779,73985.79,0.5035000000000001,0.48310000000000003,0.5046,0.0089,5239.1,999.8,1.0812887177389063
BTC-27MAR26-82000-C,BTC,2026-03-27,82000.0,C,0.02852986185302431,73985.79,0.5086999999999999,0.4918,0.5117,0.0054,2067.1,39.9,1.108320935682379
BTC-27MAR26-84000-C,BTC,2026-03-27,84000.0,C,0.02852984863202525,73984.78,0.5065,0.49560000000000004,0.5078,0.003,2889.6,145.5,1.1353686528499511
BTC-27MAR26-85000-C,BTC,2026-03-27,85000.0,C,0.02852983378013537,73984.78,0.5099,0.5024000000000001,0.5121,0.0023,3859.4,175.0,1.14888494633626
BTC-27MAR26-86000-C,BTC,2026-03-27,86000.0,C,0.028529816400550103,73972.08,0.5147999999999999,0.5077,0.5249,0.0017,3700.3,13.4,1.1626008083049713
BTC-27MAR26-88000-C,BTC,2026-03-27,88000.0,C,0.028529802587300684,73984.42,0.5337,0.5236,0.5474,0.0011,927.6,18.0,1.1894396144485555
BTC-27MAR26-90000-C,BTC,2026-03-27,90000.0,C,0.028529789967107765,73972.08,0.5534,0.5481,0.5696,0.0008,5736.3,12.6,1.2166752645052026
BTC-27MAR26-92000-C,BTC,2026-03-27,92000.0,C,0.02852977665056912,73972.36,0.5882999999999999,0.5715,0.6111,0.0006,1433.5,2.0,1.2437077849077682
BTC-27MAR26-94000-C,BTC,2026-03-27,94000.0,C,0.028529763405455422,73980.69,0.6151,0.6011,0.6343,0.0005,1426.1,2.1,1.2706018286663723
BTC-27MAR26-95000-C,BTC,2026-03-27,95000.0,C,0.028529750079980733,73980.17,0.6383,0.6239,0.6579999999999999,0.0005,4765.8,66.2,1.2841278953535793
BTC-27MAR26-96000-C,BTC,2026-03-27,96000.0,C,0.02852973703215707,73980.17,0.6418,0.6239,0.665,0.0004,2599.7,1.4,1.2976450310941432
BTC-3APR26-60000-C,BTC,2026-04-03,60000.0,C,0.04769424316215429,74006.675,0.6724,0.5945,0.7358,0.194,0.0,0.0,0.8107376800808845
BTC-3APR26-64000-C,BTC,2026-04-03,64000.0,C,0.047694228663998535,74006.405,0.6128,0.5608,0.6496,0.1443,5.8,0.0,0.8647900137832665
BTC-3APR26-65000-C,BTC,2026-04-03,65000.0,C,0.047694216581267275,74019.895,0.5974,0.5585,0.6376,0.1324,0.0,0.0,0.8781422886373994
BTC-3APR26-66000-C,BTC,2026-04-03,66000.0,C,0.04769420301838543,74019.895,0.5861,0.5422,0.6145,0.1209,0.0,0.0,0.8916521700010517
BTC-3APR26-67000-C,BTC,2026-04-03,67000.0,C,0.04769418971807108,74019.895,0.5752,0.547,0.604,0.1097,0.0,0.0,0.905162051364704
BTC-3APR26-68000-C,BTC,2026-04-03,68000.0,C,0.04769417659967805,74024.5825,0.5638000000000001,0.535,0.5876,0.0989,0.0,0.0,0.9186137591522383
BTC-3APR26-69000-C,BTC,2026-04-03,69000.0,C,0.0476941622313167,74024.5825,0.5525,0.5321,0.5670000000000001,0.0885,1.4,0.4,0.9321227850221242
BTC-3APR26-70000-C,BTC,2026-04-03,70000.0,C,0.04769414693677593,74027.465,0.545,0.5283,0.5545,0.0788,0.8,0.2,0.945594989643371
BTC-3APR26-71000-C,BTC,2026-04-03,71000.0,C,0.047694129683404314,74027.465,0.5352,0.5241,0.5488000000000001,0.0694,18.3,0.4,0.9591034894954191
BTC-3APR26-72000-C,BTC,2026-04-03,72000.0,C,0.047694117125731995,74019.895,0.5278,0.5194,0.5372,0.0608,6.8,4.7,0.9727114581829654
BTC-3APR26-73000-C,BTC,2026-04-03,73000.0,C,0.04769410444102213,74006.405,0.5203,0.5138,0.5311,0.0527,9.5,6.1,0.9864011094715384
BTC-3APR26-74000-C,BTC,2026-04-03,74000.0,C,0.04769409239409841,74027.465,0.513,0.5097,0.5211,0.0453,37.7,9.7,0.9996289890515635
BTC-3APR26-75000-C,BTC,2026-04-03,75000.0,C,0.047694079771750705,74026.81,0.5065,0.5001,0.5114,0.0385,21.7,3.9,1.0131464532917196
BTC-3APR26-76000-C,BTC,2026-04-03,76000.0,C,0.04769406696871752,74026.81,0.5008,0.4943,0.5059,0.0325,109.0,12.2,1.0266550726689425
BTC-3APR26-77000-C,BTC,2026-04-03,77000.0,C,0.04769405415335767,73996.8475,0.5002,0.4886,0.5005,0.0275,68.1,68.1,1.040584870862235
BTC-3APR26-78000-C,BTC,2026-04-03,78000.0,C,0.047694041688024436,74026.81,0.49689999999999995,0.4839,0.4964,0.0229,596.5,22.1,1.0536723114233884
BTC-3APR26-80000-C,BTC,2026-04-03,80000.0,C,0.04769402837101047,73996.8475,0.48969999999999997,0.4763,0.49060000000000004,0.0154,163.5,112.2,1.0811271385581662
BTC-3APR26-85000-C,BTC,2026-04-03,85000.0,C,0.047694015078111135,74026.81,0.48960000000000004,0.475,0.4899,0.0054,507.4,452.8,1.1482326470639488
BTC-24APR26-52000-C,BTC,2026-04-24,52000.0,C,0.10518883154780465,74055.08,0.6954,0.0,0.0,0.3026,0.0,0.0,0.7021800530091926
BTC-24APR26-54000-C,BTC,2026-04-24,54000.0,C,0.10518881869660558,74055.08,0.6737000000000001,0.6301,0.7192000000000001,0.277,0.7,0.0,0.7291869781249308
BTC-24APR26-55000-C,BTC,2026-04-24,55000.0,C,0.10518880555311556,74055.11,0.6596,0.6002000000000001,0.6970999999999999,0.2643,10.0,0.0,0.7426901398161451
BTC-24APR26-56000-C,BTC,2026-04-24,56000.0,C,0.10518879265463787,74048.85,0.6472,0.6103999999999999,0.6853,0.2517,0.0,0.0,0.7562575245935622
