date,expiry,T,F,n_strikes,sabr_alpha,sabr_rho,sabr_nu,sabr_rmse,merton_sigma,merton_lam,merton_muJ,merton_delta,merton_rmse,js_alpha,js_rho,js_nu,js_lam,js_muJ,js_delta,js_rmse
2024-01-01,2024-01-12,0.0301,43478.93,12,0.6593,-0.0141,3.9372,0.006657,,,,,,0.6593,-0.0141,3.9372,0.9997,-0.0689,0.3096,0.006659
2024-01-01,2024-01-19,0.0493,43728.11,9,0.651,0.6169,0.9141,0.008292,,,,,,0.651,0.6169,0.9141,0.9997,-0.0659,0.3107,0.008295
2024-01-01,2024-01-26,0.0684,43532.43,14,0.6256,-0.0057,2.4747,0.014449,,,,,,0.6256,-0.0057,2.4747,0.9985,-0.0731,0.3081,0.014453
2024-01-01,2024-02-23,0.1451,42638.67,12,0.588,0.4192,0.7915,0.007734,,,,,,0.588,0.4192,0.7915,0.9998,-0.0667,0.3106,0.007737
2024-01-01,2024-03-29,0.2409,42680.11,13,0.5799,-0.0068,1.1908,0.005092,,,,,,0.5799,-0.0068,1.1908,0.9998,-0.0609,0.3122,0.005094
2024-01-01,2024-06-28,0.4901,42666.76,10,0.6017,0.0175,0.5706,0.001956,,,,,,0.6017,0.0175,0.5706,0.9997,-0.0713,0.3088,0.001975
2024-01-02,2024-01-12,0.0274,44877.13,19,0.6417,0.1229,3.911,0.078892,,,,,,0.6417,0.1229,3.911,1.0,-0.0525,0.3149,0.078892
2024-01-02,2024-01-19,0.0465,45743.1,11,0.6689,0.5812,0.8663,0.00545,,,,,,0.6689,0.5812,0.8663,0.9996,-0.0664,0.3103,0.005455
2024-01-02,2024-01-26,0.0657,45710.56,17,0.6365,0.0619,2.0144,0.006808,,,,,,0.6365,0.0619,2.0144,0.9997,-0.0667,0.3104,0.006812
2024-01-02,2024-02-23,0.1424,45663.57,17,0.6209,0.179,0.6473,0.004979,,,,,,0.6209,0.179,0.6473,0.9996,-0.0627,0.3113,0.004984
2024-01-02,2024-03-29,0.2382,45225.68,16,0.607,-0.0869,0.9399,0.005338,,,,,,0.607,-0.0869,0.9399,0.9996,-0.0667,0.3103,0.005342
2024-01-02,2024-06-28,0.4873,45759.66,14,0.5881,-0.0368,1.1142,0.003334,,,,,,0.5881,-0.0368,1.1142,0.9996,-0.0688,0.3096,0.003338
2024-01-03,2024-01-12,0.0246,42166.26,21,0.7087,-0.0256,2.8567,0.025733,,,,,,0.7087,-0.0256,2.8567,1.0,-0.1,0.3,0.025715
2024-01-03,2024-01-19,0.0438,42456.93,13,0.688,-0.4198,4.3289,0.021263,,,,,,0.688,-0.4198,4.3289,0.9999,-0.0546,0.3143,0.021264
