date,expiry,T,heston_v0,heston_kappa,heston_theta,heston_sigma_v,heston_rho,heston_rmse,sabr_rmse,js_rmse
2024-01-05,2024-01-12,0.0192,0.7682,7.9457,0.0001,5.0,0.1595,0.026735,0.00917,0.020779
2024-01-05,2024-01-19,0.0383,0.6672,7.9767,0.0162,5.0,0.0273,0.00752,0.00524,0.004021
2024-01-05,2024-01-26,0.0575,0.437,7.9985,0.4933,1.0977,0.6699,0.022437,0.022274,0.01813
2024-01-05,2024-02-23,0.1342,0.4101,0.9998,0.1007,1.0,0.3005,0.002732,0.002666,0.002619
2024-01-05,2024-03-29,0.23,0.414,1.0034,0.1099,0.032,-0.0272,0.009449,0.003469,0.003469
2024-01-05,2024-06-28,0.4791,0.1042,7.9969,0.4891,1.039,0.3997,0.004421,0.002923,0.003956
2024-01-12,2024-06-28,0.46,0.3838,0.9993,0.094,0.3429,0.1687,0.001994,0.001979,0.001972
2024-01-12,2024-02-23,0.115,0.4682,7.9874,0.0016,1.5323,-0.0434,0.008617,0.006228,0.006184
2024-01-12,2024-03-29,0.2108,0.0969,7.9999,0.4966,0.3003,-0.5001,0.010287,0.004702,0.004673
2024-01-12,2024-01-26,0.0383,0.0538,7.9732,2.157,5.0,-0.1862,0.030535,0.029692,0.0141
2024-01-12,2024-01-19,0.0192,0.3356,0.1,0.0001,5.0,-0.2596,0.036097,0.016769,0.009337
2024-01-12,2024-02-02,0.0575,0.1836,8.0141,0.9761,5.0,-0.3019,0.011232,0.008556,0.008556
2024-01-19,2024-01-26,0.0192,0.2635,7.9975,0.0001,5.0,-0.1026,0.030169,0.014263,0.008417
2024-01-19,2024-02-02,0.0383,0.2341,7.9501,0.272,5.0,-0.1077,0.007157,0.009464,0.006976
2024-01-19,2024-02-09,0.0575,0.1489,7.7851,0.5434,4.0898,-0.2063,0.003922,0.005035,0.004509
2024-01-19,2024-02-23,0.0958,0.0138,7.8544,0.8331,4.6191,-0.2069,0.006574,0.005907,0.005426
2024-01-19,2024-03-29,0.1916,0.3383,8.0073,0.1178,0.0001,-0.2558,0.010588,0.003487,0.003502
2024-01-19,2024-04-26,0.2683,0.094,3.0197,0.5818,0.8513,0.0312,0.004889,0.005185,0.004837
2024-01-19,2024-06-28,0.4408,0.4019,2.9999,0.1015,0.3,0.3001,0.002332,0.002299,0.001873
2024-01-26,2024-04-26,0.2491,0.4032,7.9989,0.0939,1.0147,0.0695,0.003855,0.003805,0.003834
2024-01-26,2024-06-28,0.4216,0.1007,2.9966,0.487,1.0215,0.1284,0.002648,0.00273,0.002782
2024-01-26,2024-03-29,0.1725,0.2332,2.9959,0.2263,1.9847,-0.0416,0.002862,0.013766,0.002883
2024-01-26,2024-02-02,0.0192,0.1018,8.1992,1.1446,5.0,0.0723,0.031126,0.019385,0.017434
2024-01-26,2024-02-16,0.0575,0.2299,7.9251,0.0227,2.7749,-0.1186,0.008614,0.005691,0.0056
2024-01-26,2024-02-09,0.0383,0.0666,7.9161,1.0122,5.0,-0.2086,0.014751,0.009852,0.009758
2024-01-26,2024-02-23,0.0767,0.0061,7.906,0.7396,3.2566,0.0019,0.011017,0.009851,0.005208
2024-02-02,2024-02-09,0.0192,0.1111,7.9875,0.7523,5.0,0.0903,0.017306,0.007218,0.003873
2024-02-02,2024-02-16,0.0383,0.0525,7.9304,0.9448,5.0,0.0759,0.009036,0.006726,0.006585
2024-02-02,2024-02-23,0.0575,0.1019,7.9349,0.5803,5.0,-0.0386,0.011159,0.007292,0.007347
2024-02-02,2024-03-29,0.1533,0.2343,2.9217,0.1983,2.0624,-0.0445,0.005016,0.004865,0.004925
2024-02-02,2024-04-26,0.23,0.4016,7.9974,0.0715,1.0474,0.271,0.002359,0.002609,0.002329
