date,expiry,T,F,sabr_rmse,js_rmse,js_alpha,js_rho,js_nu,js_lam,js_muJ,js_delta,improvement,improvement_winsorised
2024-01-05,2024-01-12,0.0192,43985.51,0.00917,0.020779,0.8071,0.0799,3.2814,0.0555,0.5726,0.184,-126.6,-126.6
2024-01-05,2024-01-19,0.0383,43921.86,0.00524,0.004021,0.7003,-0.8866,1.1235,1.5724,0.2639,0.3531,23.25,23.25
2024-01-05,2024-01-26,0.0575,43399.08,0.022274,0.01813,0.5864,0.999,1.0609,0.9744,-0.5268,0.1518,18.61,18.61
2024-01-05,2024-02-23,0.1342,43486.12,0.002666,0.002619,0.6136,0.3039,0.7477,1.9978,-0.0371,0.2592,1.73,1.73
2024-01-05,2024-03-29,0.23,43726.51,0.003469,0.003469,0.5929,-0.0026,1.1941,1.9689,-0.0267,0.2385,-0.0,-0.0
2024-01-05,2024-06-28,0.4791,43813.22,0.002923,0.003956,0.6134,0.1345,0.6253,1.9935,-0.0232,0.2591,-35.35,-35.35
2024-01-12,2024-06-28,0.46,43321.9,0.001979,0.001972,0.5624,0.001,0.4796,1.9941,-0.1097,0.2367,0.39,0.39
2024-01-12,2024-02-23,0.115,43295.04,0.006228,0.006184,0.5051,-0.1532,1.7918,1.9876,-0.1558,0.2278,0.71,0.71
2024-01-12,2024-03-29,0.2108,43595.1,0.004702,0.004673,0.5263,-0.2174,1.3286,1.9785,0.0538,0.2653,0.61,0.61
2024-01-12,2024-01-26,0.0383,43036.14,0.029692,0.0141,0.4477,-0.2185,3.8459,5.2382,-0.1685,0.1267,52.51,50.0
2024-01-12,2024-01-19,0.0192,42012.29,0.016769,0.009337,0.5748,-0.522,4.432,0.0266,0.321,0.4088,44.32,44.32
2024-01-12,2024-02-02,0.0575,43673.13,0.008556,0.008556,0.5169,-0.3043,2.9529,0.0001,0.1642,0.3137,-0.0,-0.0
2024-01-19,2024-01-26,0.0192,41290.73,0.014263,0.008417,0.4323,-0.3108,5.0,0.1305,0.2548,0.2558,40.99,40.99
2024-01-19,2024-02-02,0.0383,42081.51,0.009464,0.006976,0.3451,0.8909,2.3596,0.5172,-1.6483,0.016,26.28,26.28
2024-01-19,2024-02-09,0.0575,41177.17,0.005035,0.004509,0.3745,0.0717,2.436,0.4974,-0.4987,0.1811,10.45,10.45
2024-01-19,2024-02-23,0.0958,40943.47,0.005907,0.005426,0.4528,-0.567,1.5805,0.4181,0.2477,0.3979,8.15,8.15
2024-01-19,2024-03-29,0.1916,40312.01,0.003487,0.003502,0.4566,-0.3804,1.5257,0.4215,0.2461,0.3572,-0.43,-0.43
2024-01-19,2024-04-26,0.2683,40329.47,0.005185,0.004837,0.4821,-0.2156,0.7038,0.5048,0.1758,0.3219,6.71,6.71
2024-01-19,2024-06-28,0.4408,40376.9,0.002299,0.001873,0.5077,-0.0307,0.6934,1.9995,-0.0806,0.1529,18.56,18.56
2024-01-26,2024-04-26,0.2491,41182.24,0.003805,0.003834,0.4623,0.049,0.6718,0.5044,-0.1527,0.2844,-0.77,-0.77
2024-01-26,2024-06-28,0.4216,41184.4,0.00273,0.002782,0.5005,0.299,0.299,0.4998,0.0981,0.2994,-1.91,-1.91
2024-01-26,2024-03-29,0.1725,41970.72,0.013766,0.002883,0.4173,-0.1695,1.8379,0.5094,0.1361,0.3501,79.06,50.0
2024-01-26,2024-02-02,0.0192,39991.78,0.019385,0.017434,0.3894,-0.228,3.4588,0.1397,0.2046,0.3328,10.07,10.07
2024-01-26,2024-02-16,0.0575,40173.0,0.005691,0.0056,0.3878,-0.1082,2.5629,0.4615,-0.1533,0.2712,1.59,1.59
2024-01-26,2024-02-09,0.0383,39939.37,0.009852,0.009758,0.3897,-0.201,3.4215,0.391,-0.5359,0.9461,0.96,0.96
2024-01-26,2024-02-23,0.0767,40091.5,0.009851,0.005208,0.2959,0.4921,2.1001,3.8904,-0.2478,0.3676,47.14,47.14
2024-02-02,2024-02-09,0.0192,42865.15,0.007218,0.003873,0.3571,-0.0403,4.0378,0.0641,0.2378,0.3307,46.35,46.35
2024-02-02,2024-02-16,0.0383,43067.65,0.006726,0.006585,0.3642,0.0593,3.5687,0.3976,-0.1142,0.2704,2.08,2.08
2024-02-02,2024-02-23,0.0575,42811.94,0.007292,0.007347,0.3695,-0.0402,3.3294,0.0235,-0.4269,0.146,-0.76,-0.76
2024-02-02,2024-03-29,0.1533,43009.91,0.004865,0.004925,0.4199,-0.0564,1.7965,0.4718,0.0333,0.3344,-1.23,-1.23
2024-02-02,2024-04-26,0.23,42938.17,0.002609,0.002329,0.4556,0.2316,0.7628,0.5065,-0.1502,0.2854,10.72,10.72
