date,expiry,T,F,n_strikes,sabr_alpha,sabr_rho,sabr_nu,sabr_rmse,merton_sigma,merton_lam,merton_muJ,merton_delta,js_alpha,js_rho,js_nu,js_lam,js_muJ,js_delta,bsm_rmse,sticky_strike_rmse,sticky_delta_rmse,js_joint_rmse,merton_rmse,T_bucket
2024-01-01,2024-01-12,0.0301,43478.93,12,0.6593,-0.0141,3.9372,0.006657,,,,,0.6593,-0.0141,3.9372,0.9997,-0.0689,0.3096,0.071351,0.017124,0.007074,,,Short (<30d)
2024-01-01,2024-01-19,0.0493,43728.11,9,0.651,0.6169,0.9141,0.008292,,,,,0.651,0.6169,0.9141,0.9997,-0.0659,0.3107,0.028718,0.008548,0.005464,,,Short (<30d)
2024-01-01,2024-01-26,0.0684,43532.43,14,0.6256,-0.0057,2.4747,0.014449,,,,,0.6256,-0.0057,2.4747,0.9985,-0.0731,0.3081,0.027526,0.018782,0.010936,,,Short (<30d)
2024-01-01,2024-02-23,0.1451,42638.67,12,0.588,0.4192,0.7915,0.007734,,,,,0.588,0.4192,0.7915,0.9998,-0.0667,0.3106,0.02787,0.008037,0.0071,,,Medium (30-90d)
2024-01-01,2024-03-29,0.2409,42680.11,13,0.5799,-0.0068,1.1908,0.005092,,,,,0.5799,-0.0068,1.1908,0.9998,-0.0609,0.3122,0.020107,0.01181,0.004984,,,Medium (30-90d)
2024-01-01,2024-06-28,0.4901,42666.76,10,0.6017,0.0175,0.5706,0.001956,,,,,0.6017,0.0175,0.5706,0.9997,-0.0713,0.3088,0.004994,0.003162,0.001741,,,Long (90-180d)
2024-01-02,2024-01-12,0.0274,44877.13,19,0.6417,0.1229,3.911,0.078892,,,,,0.6417,0.1229,3.911,1.0,-0.0525,0.3149,0.089273,0.082419,0.079599,,,Short (<30d)
2024-01-02,2024-01-19,0.0465,45743.1,11,0.6689,0.5812,0.8663,0.00545,,,,,0.6689,0.5812,0.8663,0.9996,-0.0664,0.3103,0.027496,0.00567,0.004043,,,Short (<30d)
2024-01-02,2024-01-26,0.0657,45710.56,17,0.6365,0.0619,2.0144,0.006808,,,,,0.6365,0.0619,2.0144,0.9997,-0.0667,0.3104,0.028437,0.014176,0.006982,,,Short (<30d)
2024-01-02,2024-02-23,0.1424,45663.57,17,0.6209,0.179,0.6473,0.004979,,,,,0.6209,0.179,0.6473,0.9996,-0.0627,0.3113,0.009383,0.005673,0.004556,,,Medium (30-90d)
2024-01-02,2024-03-29,0.2382,45225.68,16,0.607,-0.0869,0.9399,0.005338,,,,,0.607,-0.0869,0.9399,0.9996,-0.0667,0.3103,0.012819,0.007472,0.005275,,,Medium (30-90d)
2024-01-02,2024-06-28,0.4873,45759.66,14,0.5881,-0.0368,1.1142,0.003334,,,,,0.5881,-0.0368,1.1142,0.9996,-0.0688,0.3096,0.016499,0.00789,0.003381,,,Long (90-180d)
2024-01-03,2024-01-12,0.0246,42166.26,21,0.7087,-0.0256,2.8567,0.025733,,,,,0.7087,-0.0256,2.8567,1.0,-0.1,0.3,0.037171,0.031642,0.024742,,,Short (<30d)
2024-01-03,2024-01-19,0.0438,42456.93,13,0.688,-0.4198,4.3289,0.021263,,,,,0.688,-0.4198,4.3289,0.9999,-0.0546,0.3143,0.078712,0.031765,0.022682,,,Short (<30d)
2024-01-03,2024-01-26,0.063,42296.74,21,0.6186,0.0592,1.7747,0.019423,,,,,0.6186,0.0592,1.7747,0.9996,-0.0691,0.3097,0.044813,0.02554,0.01972,,,Short (<30d)
2024-01-03,2024-02-23,0.1396,42424.84,15,0.6125,0.1409,0.5917,0.007273,,,,,0.6125,0.1409,0.5917,0.9997,-0.0671,0.3102,0.013511,0.007409,0.007276,,,Medium (30-90d)
2024-01-03,2024-03-29,0.2355,43567.97,19,0.5715,0.0204,1.4796,0.007176,,,,,0.5715,0.0204,1.4796,0.9997,-0.0661,0.3105,0.017731,0.015695,0.006897,,,Medium (30-90d)
2024-01-03,2024-06-28,0.4846,42343.5,14,0.6054,0.035,0.5936,0.005332,,,,,0.6054,0.035,0.5936,1.0,-0.1,0.3,0.006783,0.005362,0.005214,,,Long (90-180d)
2024-01-04,2024-01-12,0.0219,43091.12,20,0.7059,0.0857,4.3037,0.022542,,,,,0.7059,0.0857,4.3037,1.0,-0.0512,0.3153,0.076156,0.043952,0.023419,,,Short (<30d)
2024-01-04,2024-01-19,0.0411,44248.54,12,0.6467,0.035,3.3095,0.006201,,,,,0.6467,0.035,3.3095,0.9997,-0.0659,0.3106,0.050961,0.011795,0.007161,,,Short (<30d)
2024-01-04,2024-01-26,0.0602,44502.44,15,0.633,0.1018,2.1336,0.004371,,,,,0.633,0.1018,2.1336,0.9997,-0.07,0.3093,0.02841,0.013685,0.004159,,,Short (<30d)
2024-01-04,2024-02-23,0.1369,43754.13,12,0.6051,0.4103,0.7741,0.003817,,,,,0.6051,0.4103,0.7741,0.9997,-0.0678,0.31,0.0236,0.004039,0.00363,,,Medium (30-90d)
2024-01-04,2024-03-29,0.2327,44304.68,12,0.5904,0.0466,1.1951,0.002531,,,,,0.5904,0.0466,1.1951,0.9997,-0.0693,0.3095,0.012126,0.007605,0.002542,,,Medium (30-90d)
2024-01-04,2024-06-28,0.4819,44101.01,13,0.5912,0.0091,1.1049,0.001752,,,,,0.5912,0.0091,1.1049,0.9996,-0.069,0.3096,0.008348,0.003846,0.001731,,,Long (90-180d)
2024-01-05,2024-01-12,0.0192,43985.51,19,0.7814,0.0095,4.7397,0.00917,0.7484,1.0328,0.1,0.5918,0.7814,0.0095,4.7397,0.9997,-0.0627,0.3115,0.060908,0.039031,0.010406,0.020779,0.014017,Short (<30d)
2024-01-05,2024-01-19,0.0383,43921.86,13,0.6928,-0.025,3.3616,0.00524,0.6431,1.0156,0.1,0.5082,0.6928,-0.025,3.3616,0.9997,-0.07,0.3095,0.047042,0.014026,0.004311,0.004021,0.004066,Short (<30d)
2024-01-05,2024-01-26,0.0575,43399.08,18,0.6637,0.6027,0.7977,0.022274,0.6765,0.9997,0.1,0.029,0.6637,0.6027,0.7977,0.9998,-0.0929,0.3021,0.042259,0.0223,0.022099,0.01813,0.040386,Short (<30d)
2024-01-05,2024-02-23,0.1342,43486.12,12,0.6139,0.3209,0.7202,0.002666,0.5282,1.0141,0.1,0.4154,0.6139,0.3209,0.7202,0.9997,-0.0674,0.3101,0.017065,0.003195,0.002096,0.002619,0.003282,Medium (30-90d)
2024-01-05,2024-03-29,0.23,43726.51,15,0.5928,-0.0022,1.1959,0.003469,0.4896,1.0214,-0.1,0.4322,0.5928,-0.0022,1.1959,0.9997,-0.0667,0.3103,0.012684,0.009076,0.003397,0.003469,0.003378,Medium (30-90d)
2024-01-05,2024-06-28,0.4791,43813.22,10,0.5922,-0.0477,1.2634,0.002923,0.4079,1.0136,-0.1,0.5611,0.5922,-0.0477,1.2634,0.9997,-0.069,0.3096,0.011191,0.004495,0.002903,0.003956,0.003089,Long (90-180d)
2024-01-06,2024-01-19,0.0356,43838.49,11,0.707,-0.054,3.9195,0.013586,,,,,0.707,-0.054,3.9195,0.9997,-0.0681,0.3099,0.054268,0.017129,0.01319,,,Short (<30d)
2024-01-06,2024-01-26,0.0548,43894.02,14,0.6778,-0.0594,3.1491,0.015307,,,,,0.6778,-0.0594,3.1491,0.9997,-0.0654,0.3106,0.035464,0.024477,0.015768,,,Short (<30d)
2024-01-06,2024-02-23,0.1314,44022.49,11,0.6104,-0.0403,1.8997,0.005984,,,,,0.6104,-0.0403,1.8997,0.9997,-0.0686,0.3097,0.016961,0.008836,0.00596,,,Medium (30-90d)
2024-01-06,2024-03-29,0.2272,43672.05,10,0.5969,0.012,1.2513,0.002778,,,,,0.5969,0.012,1.2513,0.9997,-0.0693,0.3095,0.013701,0.009569,0.002749,,,Medium (30-90d)
2024-01-07,2024-01-19,0.0329,43970.14,13,0.7744,0.169,2.8371,0.009443,,,,,0.7744,0.169,2.8371,0.9995,-0.0687,0.3096,0.05562,0.011949,0.009337,,,Short (<30d)
