date,expiry,T,merton_sigma,merton_lam,merton_muJ,merton_delta,merton_rmse,sabr_rmse,js_rmse
2024-01-05,2024-01-12,0.0192,0.7484,1.0328,0.1,0.5918,0.014017,0.00917,0.020779
2024-01-05,2024-01-19,0.0383,0.6431,1.0156,0.1,0.5082,0.004066,0.00524,0.004021
2024-01-05,2024-01-26,0.0575,0.6765,0.9997,0.1,0.029,0.040386,0.022274,0.01813
2024-01-05,2024-02-23,0.1342,0.5282,1.0141,0.1,0.4154,0.003282,0.002666,0.002619
2024-01-05,2024-03-29,0.23,0.4896,1.0214,-0.1,0.4322,0.003378,0.003469,0.003469
2024-01-05,2024-06-28,0.4791,0.4079,1.0136,-0.1,0.5611,0.003089,0.002923,0.003956
2024-01-12,2024-06-28,0.46,0.5202,1.008,0.1,0.2515,0.002692,0.001979,0.001972
2024-01-12,2024-02-23,0.115,0.4923,1.0024,0.1,0.2531,0.008151,0.006228,0.006184
2024-01-12,2024-03-29,0.2108,0.4858,1.0051,0.1,0.2671,0.010616,0.004702,0.004673
2024-01-12,2024-01-26,0.0383,0.541,0.9858,0.1,0.2007,0.033185,0.029692,0.0141
2024-01-12,2024-01-19,0.0192,0.5385,0.1829,0.1,0.2477,0.028839,0.016769,0.009337
2024-01-12,2024-02-02,0.0575,0.5161,0.0262,0.0999,2.0,0.013948,0.008556,0.008556
2024-01-19,2024-01-26,0.0192,0.3228,17.9145,-0.1005,0.0855,0.030746,0.014263,0.008417
2024-01-19,2024-02-02,0.0383,0.2957,12.83,0.1,0.1037,0.009218,0.009464,0.006976
2024-01-19,2024-02-09,0.0575,0.3652,4.0135,0.1,0.1313,0.009672,0.005035,0.004509
2024-01-19,2024-02-23,0.0958,0.4094,1.0048,-0.1,0.253,0.009821,0.005907,0.005426
2024-01-19,2024-03-29,0.1916,0.4022,1.0035,-0.1,0.2893,0.006149,0.003487,0.003502
2024-01-19,2024-04-26,0.2683,0.4296,1.0091,0.1,0.262,0.00471,0.005185,0.004837
2024-01-19,2024-06-28,0.4408,0.4154,1.0117,0.1,0.3435,0.001815,0.002299,0.001873
2024-01-26,2024-04-26,0.2491,0.402,1.0088,-0.1,0.2783,0.003628,0.003805,0.003834
2024-01-26,2024-06-28,0.4216,0.3839,1.0123,0.1,0.3803,0.002617,0.00273,0.002782
2024-01-26,2024-03-29,0.1725,0.3608,1.006,-0.1,0.3281,0.004481,0.013766,0.002883
2024-01-26,2024-02-02,0.0192,0.3736,2.2266,-0.1,0.1213,0.018981,0.019385,0.017434
2024-01-26,2024-02-16,0.0575,0.378,1.0023,-0.1,0.1937,0.004087,0.005691,0.0056
2024-01-26,2024-02-09,0.0383,0.3876,1.0008,-0.1,0.1674,0.007216,0.009852,0.009758
2024-01-26,2024-02-23,0.0767,0.3774,1.0027,0.1,0.2214,0.008047,0.009851,0.005208
2024-02-02,2024-02-09,0.0192,0.3354,3.5463,0.1,0.1102,0.006109,0.007218,0.003873
2024-02-02,2024-02-16,0.0383,0.3226,3.5802,-0.1001,0.143,0.009612,0.006726,0.006585
2024-02-02,2024-02-23,0.0575,0.353,1.0057,0.1,0.269,0.004114,0.007292,0.007347
2024-02-02,2024-03-29,0.1533,0.3594,1.0024,0.1,0.3231,0.005439,0.004865,0.004925
2024-02-02,2024-04-26,0.23,0.3767,1.0102,0.1,0.3355,0.003435,0.002609,0.002329
2024-02-09,2024-02-16,0.0192,0.3708,3.2171,0.1,0.148,0.017777,0.019478,0.019479
2024-02-09,2024-02-23,0.0383,0.354,3.8894,0.1,0.1622,0.026344,0.018838,0.018839
2024-02-09,2024-03-01,0.0575,0.3129,6.069,0.1,0.1428,0.005265,0.003349,0.00332
2024-02-09,2024-03-29,0.1342,0.3633,0.9981,-0.1,0.3768,0.015392,0.011828,0.011828
2024-02-09,2024-04-26,0.2108,0.3622,1.0141,0.1,0.4258,0.010788,0.00547,0.005457
2024-02-09,2024-06-28,0.3833,0.3124,1.0,0.1,0.5483,0.016594,0.007354,0.00735
2024-02-16,2024-04-26,0.1916,0.419,1.0275,-0.1,0.5346,0.005806,0.002914,0.002657
2024-02-16,2024-03-29,0.115,0.464,1.0104,-0.1,0.3551,0.018189,0.009996,0.009996
2024-02-16,2024-06-28,0.3641,0.4237,1.02,-0.1,0.5055,0.011721,0.00507,0.005049
2024-02-16,2024-03-01,0.0383,0.4702,1.0116,0.1,0.3167,0.010492,0.005626,0.008017
2024-02-16,2024-02-23,0.0192,0.3151,20.0,-0.0995,0.0999,0.039498,0.040425,0.040426
